,Ship Mode,State,Sales,Profit
35,First Class,Texas,1097.544,123.47370000000012
36,First Class,Texas,190.92,-147.963
44,First Class,Minnesota,45.98,19.771399999999996
45,First Class,Minnesota,17.46,8.2062
55,First Class,New York,208.56,52.140000000000015
56,First Class,New York,32.4,15.552
57,First Class,New York,319.41,7.098000000000013
58,First Class,New York,14.56,6.9888
59,First Class,New York,30.0,3.3000000000000007
60,First Class,New York,48.48,16.361999999999995
61,First Class,New York,1.68,0.84
69,First Class,Virginia,75.88,35.663599999999995
75,First Class,Texas,1.248,-1.9344
76,First Class,Texas,9.708,-5.8248
77,First Class,Texas,27.24,2.724
79,First Class,Alabama,208.16,56.20320000000001
80,First Class,Alabama,16.74,8.035199999999998
84,First Class,Illinois,230.376,-48.95489999999998
97,First Class,California,51.312,17.959199999999996
119,First Class,Delaware,47.04,18.345599999999997
120,First Class,Delaware,30.84,13.878
121,First Class,Delaware,226.56,63.436800000000005
122,First Class,Delaware,115.02,51.75899999999999
123,First Class,Delaware,68.04,19.731600000000007
130,First Class,Ohio,59.97,-11.994
131,First Class,Ohio,78.304,29.364000000000004
132,First Class,Ohio,21.456,6.9732
151,First Class,Arizona,157.92,17.76599999999999
152,First Class,Arizona,203.184,15.238799999999998
153,First Class,California,58.38,26.271
154,First Class,California,105.52,48.539199999999994
155,First Class,California,80.88,21.028799999999997
160,First Class,California,5.98,2.6910000000000003
189,First Class,New York,899.136,112.39199999999994
190,First Class,New York,71.76,20.092800000000004
191,First Class,New York,51.84,24.883200000000002
192,First Class,New York,626.352,46.97640000000001
193,First Class,New York,19.9,6.566999999999998
201,First Class,Colorado,218.75,-161.875
202,First Class,Colorado,2.6,0.2925
219,First Class,Ohio,5.584,1.8147999999999995
220,First Class,Ohio,22.704,8.2302
221,First Class,Ohio,19.776,-13.8432
222,First Class,Ohio,72.704,19.084799999999994
223,First Class,Ohio,479.988,-383.99039999999997
224,First Class,Ohio,27.168,2.716799999999999
252,First Class,New York,80.58,22.562399999999997
253,First Class,New York,361.92,162.864
271,First Class,California,209.93,92.3692
272,First Class,California,5.28,2.3232000000000004
273,First Class,California,10.92,4.095
274,First Class,California,8.82,4.0572
275,First Class,California,5.98,1.5548000000000002
293,First Class,Colorado,300.416,78.85919999999999
294,First Class,Colorado,230.352,20.1558
295,First Class,Colorado,218.352,-24.564599999999984
296,First Class,Colorado,78.6,-62.879999999999995
297,First Class,Colorado,27.552,9.2988
308,First Class,Virginia,4.89,2.0048999999999997
316,First Class,Pennsylvania,99.136,8.674399999999991
326,First Class,Pennsylvania,290.898,-67.87619999999998
327,First Class,Pennsylvania,54.224,3.388999999999996
328,First Class,Pennsylvania,786.744,-258.50159999999994
329,First Class,Pennsylvania,100.24,33.83099999999999
330,First Class,Pennsylvania,37.764,-27.693599999999996
349,First Class,New York,6.79,2.3086
350,First Class,New York,24.56,11.543199999999999
351,First Class,New York,3.048,1.0668
352,First Class,New York,49.12,23.086399999999998
353,First Class,New York,4355.168,1415.4295999999995
359,First Class,Georgia,647.84,168.43840000000006
360,First Class,Georgia,20.7,9.936
376,First Class,Illinois,99.136,30.97999999999999
381,First Class,California,50.96,25.48
382,First Class,California,49.536,17.337600000000002
388,First Class,Ohio,2.624,0.4264000000000001
402,First Class,Florida,9.568,3.4684
421,First Class,Colorado,196.752,56.56620000000001
427,First Class,New York,69.99,30.095699999999994
433,First Class,Massachusetts,714.3,207.14699999999993
484,First Class,California,29.6,14.8
485,First Class,California,514.165,-30.245000000000005
486,First Class,California,279.96,17.497500000000002
487,First Class,Illinois,2735.952,341.99400000000014
510,First Class,Missouri,126.3,40.416
511,First Class,Missouri,38.04,12.172799999999999
512,First Class,Ohio,7.152,0.7152000000000003
522,First Class,Michigan,210.98,21.097999999999985
523,First Class,California,55.176,-12.414599999999993
524,First Class,California,66.26,27.166600000000003
