,Category,Category_,Sub-Category,Profit
0,Furniture,0,Bookcases,41.913599999999974
1,Furniture,0,Chairs,219.5820000000001
3,Furniture,0,Tables,-383.03100000000006
5,Furniture,0,Furnishings,14.169399999999996
10,Furniture,0,Tables,85.30919999999992
23,Furniture,0,Chairs,-1.019599999999997
24,Furniture,0,Tables,240.26490000000013
27,Furniture,0,Bookcases,-1665.0522000000005
29,Furniture,0,Furnishings,15.525000000000006
36,Furniture,0,Furnishings,-147.963
38,Furniture,0,Bookcases,-46.97640000000001
39,Furniture,0,Chairs,-15.14700000000002
51,Furniture,0,Furnishings,2.9568000000000003
52,Furniture,0,Chairs,17.098099999999988
57,Furniture,0,Chairs,7.098000000000013
65,Furniture,0,Furnishings,22.332800000000006
66,Furniture,0,Chairs,-15.222499999999997
72,Furniture,0,Chairs,-114.39119999999991
73,Furniture,0,Furnishings,1.213000000000008
76,Furniture,0,Furnishings,-5.8248
78,Furniture,0,Furnishings,-14.474999999999998
85,Furniture,0,Chairs,33.215599999999995
93,Furniture,0,Furnishings,16.535400000000003
96,Furniture,0,Furnishings,40.5426
104,Furniture,0,Furnishings,-3.8384999999999962
110,Furniture,0,Furnishings,10.909600000000001
117,Furniture,0,Tables,165.3813
119,Furniture,0,Furnishings,18.345599999999997
124,Furniture,0,Chairs,-8.579399999999964
125,Furniture,0,Tables,-407.682
128,Furniture,0,Chairs,-9.160199999999989
129,Furniture,0,Furnishings,26.241600000000005
139,Furniture,0,Furnishings,20.697599999999998
140,Furniture,0,Furnishings,10.349999999999994
146,Furniture,0,Furnishings,12.909600000000012
149,Furniture,0,Chairs,585.5519999999999
157,Furniture,0,Chairs,51.476399999999956
167,Furniture,0,Chairs,-24.857999999999947
173,Furniture,0,Chairs,21.259000000000015
177,Furniture,0,Chairs,-11.337199999999996
189,Furniture,0,Bookcases,112.39199999999994
192,Furniture,0,Bookcases,46.97640000000001
201,Furniture,0,Tables,-161.875
204,Furniture,0,Furnishings,9.671199999999999
213,Furniture,0,Bookcases,-244.32300000000004
222,Furniture,0,Furnishings,19.084799999999994
226,Furniture,0,Tables,136.93900000000002
228,Furniture,0,Chairs,-28.274399999999986
229,Furniture,0,Chairs,43.8408
231,Furniture,0,Tables,-102.048
232,Furniture,0,Tables,-248.24580000000003
234,Furniture,0,Furnishings,0.0
238,Furniture,0,Furnishings,-356.728
239,Furniture,0,Furnishings,-4.6751999999999985
241,Furniture,0,Tables,-120.513
242,Furniture,0,Furnishings,-2.8308
244,Furniture,0,Chairs,580.5393999999999
249,Furniture,0,Chairs,28.137200000000007
254,Furniture,0,Furnishings,-8.492400000000002
272,Furniture,0,Furnishings,2.3232000000000004
282,Furniture,0,Tables,51.941999999999894
292,Furniture,0,Bookcases,-48.70320000000001
293,Furniture,0,Furnishings,78.85919999999999
294,Furniture,0,Chairs,20.1558
295,Furniture,0,Furnishings,-24.564599999999984
301,Furniture,0,Furnishings,38.023999999999994
303,Furniture,0,Tables,-131.445
304,Furniture,0,Furnishings,12.864
309,Furniture,0,Furnishings,3.5947999999999993
310,Furniture,0,Chairs,52.51139999999998
311,Furniture,0,Furnishings,1.7135999999999996
313,Furniture,0,Furnishings,37.64220000000001
317,Furniture,0,Chairs,24.156800000000004
325,Furniture,0,Furnishings,0.9995000000000012
328,Furniture,0,Chairs,-258.50159999999994
338,Furniture,0,Tables,-17.458799999999997
354,Furniture,0,Bookcases,-4.858799999999974
362,Furniture,0,Chairs,86.87040000000002
364,Furniture,0,Furnishings,20.732799999999997
369,Furniture,0,Bookcases,271.41920000000005
377,Furniture,0,Tables,-297.6848
384,Furniture,0,Tables,-157.0095
387,Furniture,0,Furnishings,0.7770000000000001
399,Furniture,0,Bookcases,-317.15279999999984
408,Furniture,0,Tables,-112.95269999999994
412,Furniture,0,Bookcases,31.454799999999977
413,Furniture,0,Chairs,-18.45479999999999
415,Furniture,0,Chairs,26.874400000000037
417,Furniture,0,Chairs,38.379999999999995
422,Furniture,0,Furnishings,14.705600000000004
424,Furniture,0,Chairs,225.264
425,Furniture,0,Furnishings,11.075999999999997
439,Furniture,0,Chairs,2.3094000000000108
440,Furniture,0,Furnishings,3.6660000000000004
444,Furniture,0,Chairs,29.152799999999985
446,Furniture,0,Furnishings,1.3677000000000001
453,Furniture,0,Tables,-75.8304
456,Furniture,0,Chairs,-24.293999999999983
457,Furniture,0,Chairs,-96.1146
462,Furniture,0,Furnishings,7.067999999999998
463,Furniture,0,Tables,-814.4831999999997
467,Furniture,0,Furnishings,-312.06139999999994
468,Furniture,0,Bookcases,-36.23520000000002
472,Furniture,0,Bookcases,10.478399999999993
478,Furniture,0,Furnishings,19.296000000000003
485,Furniture,0,Bookcases,-30.245000000000005
494,Furniture,0,Tables,-94.94099999999997
497,Furniture,0,Furnishings,81.8432
498,Furniture,0,Chairs,18.11760000000001
499,Furniture,0,Furnishings,22.869
502,Furniture,0,Chairs,50.097999999999956
510,Furniture,0,Furnishings,40.416
522,Furniture,0,Tables,21.097999999999985
526,Furniture,0,Chairs,42.74699999999996
527,Furniture,0,Furnishings,5.140799999999999
531,Furniture,0,Chairs,11.919999999999987
532,Furniture,0,Furnishings,2.3969999999999985
539,Furniture,0,Chairs,70.98000000000002
545,Furniture,0,Furnishings,-84.2928
551,Furniture,0,Chairs,0.0
552,Furniture,0,Furnishings,6.038199999999996
557,Furniture,0,Tables,-217.048
559,Furniture,0,Furnishings,16.614
562,Furniture,0,Furnishings,3.7743
569,Furniture,0,Chairs,0.0
579,Furniture,0,Furnishings,-5.7148
586,Furniture,0,Chairs,4.968600000000009
597,Furniture,0,Furnishings,91.77279999999999
603,Furniture,0,Furnishings,5.140799999999999
616,Furniture,0,Furnishings,15.787199999999999
617,Furniture,0,Furnishings,3.0813999999999995
620,Furniture,0,Furnishings,27.286199999999994
622,Furniture,0,Chairs,87.56839999999997
626,Furniture,0,Furnishings,12.090400000000002
635,Furniture,0,Chairs,43.22339999999997
638,Furniture,0,Furnishings,272.79200000000003
640,Furniture,0,Furnishings,6.0288
648,Furniture,0,Furnishings,6.068000000000001
657,Furniture,0,Chairs,-50.09800000000007
661,Furniture,0,Tables,-118.12950000000012
668,Furniture,0,Furnishings,8.7285
669,Furniture,0,Furnishings,-14.385600000000004
670,Furniture,0,Tables,-71.89049999999999
678,Furniture,0,Furnishings,-41.262
688,Furniture,0,Bookcases,4.799599999999998
689,Furniture,0,Furnishings,14.561400000000006
701,Furniture,0,Furnishings,4.1448
702,Furniture,0,Furnishings,35.67959999999999
703,Furniture,0,Tables,-13.871700000000033
708,Furniture,0,Bookcases,-110.49000000000001
716,Furniture,0,Furnishings,3.0813999999999995
717,Furniture,0,Furnishings,24.475799999999992
719,Furniture,0,Furnishings,21.995999999999995
721,Furniture,0,Tables,231.41160000000013
723,Furniture,0,Furnishings,21.11199999999998
728,Furniture,0,Tables,-153.34560000000005
730,Furniture,0,Chairs,102.49979999999994
736,Furniture,0,Bookcases,18.6956
746,Furniture,0,Tables,-28.355999999999995
750,Furniture,0,Furnishings,56.786400000000015
754,Furniture,0,Furnishings,28.7712
755,Furniture,0,Tables,-167.3184
768,Furniture,0,Furnishings,23.315999999999974
769,Furniture,0,Chairs,179.74880000000002
775,Furniture,0,Furnishings,14.523599999999998
777,Furniture,0,Chairs,40.80060000000003
783,Furniture,0,Bookcases,-15.6156
787,Furniture,0,Chairs,34.89280000000002
791,Furniture,0,Chairs,79.90559999999999
799,Furniture,0,Chairs,17.745000000000005
800,Furniture,0,Furnishings,7.3359000000000005
