,Ship Mode,State,Sales,Profit
366,Same Day,Connecticut,23.2,10.44
367,Same Day,Connecticut,7.36,0.14720000000000066
368,Same Day,Connecticut,104.79,29.3412
369,Same Day,Connecticut,1043.92,271.41920000000005
657,Same Day,Illinois,701.372,-50.09800000000007
658,Same Day,Illinois,2.308,-3.4619999999999997
664,Same Day,Kentucky,10.74,5.2626
683,Same Day,North Carolina,7999.98,-3839.9904000000006
684,Same Day,North Carolina,167.44,14.65100000000001
746,Same Day,California,567.12,-28.355999999999995
747,Same Day,California,359.32,7.186399999999992
792,Same Day,North Carolina,1363.96,85.24749999999995
813,Same Day,California,18.28,6.215200000000001
814,Same Day,California,1399.93,601.9699
882,Same Day,California,13.48,5.9312000000000005
959,Same Day,California,204.6,53.196
987,Same Day,Texas,1.112,-1.8904
1001,Same Day,New York,2309.65,762.1845000000001
1002,Same Day,New York,1090.782,-290.8752000000002
1003,Same Day,New York,19.44,9.3312
1086,Same Day,Iowa,6.48,3.1104000000000003
1135,Same Day,Florida,85.224,7.457099999999997
1146,Same Day,Michigan,644.076,107.346
1147,Same Day,Michigan,5.84,2.6279999999999997
1148,Same Day,Michigan,12.76,5.8696
1149,Same Day,Michigan,10.95,0.43799999999999883
1150,Same Day,Michigan,599.98,209.993
1166,Same Day,Washington,447.93,49.27230000000003
1193,Same Day,Florida,15.552,5.443199999999999
1194,Same Day,Florida,15.712,2.5532000000000004
1195,Same Day,Florida,24.672,2.1587999999999994
1196,Same Day,Florida,55.968,-2.098799999999997
