,Ship Mode,State,Sales,Profit
3,Standard Class,Florida,957.5775,-383.03100000000006
4,Standard Class,Florida,22.368,2.5163999999999973
5,Standard Class,California,48.86,14.169399999999996
6,Standard Class,California,7.28,1.9656000000000002
7,Standard Class,California,907.152,90.7152000000001
8,Standard Class,California,18.504,5.782500000000001
9,Standard Class,California,114.9,34.47
10,Standard Class,California,1706.184,85.30919999999992
11,Standard Class,California,911.424,68.35680000000002
12,Standard Class,North Carolina,15.552,5.443199999999999
13,Standard Class,Washington,407.976,132.5922
14,Standard Class,Texas,68.81,-123.858
15,Standard Class,Texas,2.544,-3.8160000000000003
16,Standard Class,Wisconsin,665.88,13.31759999999997
21,Standard Class,Nebraska,19.46,5.059600000000001
22,Standard Class,Nebraska,60.34,15.688400000000001
24,Standard Class,Utah,1044.63,240.26490000000013
27,Standard Class,Pennsylvania,3083.43,-1665.0522000000005
28,Standard Class,Pennsylvania,9.618,-7.053199999999999
29,Standard Class,Pennsylvania,124.2,15.525000000000006
30,Standard Class,Pennsylvania,3.264,1.1016
31,Standard Class,Pennsylvania,86.304,9.709199999999996
32,Standard Class,Pennsylvania,6.858,-5.715000000000001
33,Standard Class,Pennsylvania,15.76,3.5459999999999994
37,Standard Class,Texas,113.328,35.415000000000006
38,Standard Class,Texas,532.3992,-46.97640000000001
39,Standard Class,Texas,212.058,-15.14700000000002
40,Standard Class,Texas,371.168,41.756399999999985
41,Standard Class,Illinois,147.168,16.556399999999996
42,Standard Class,California,77.88,3.8939999999999912
43,Standard Class,Florida,95.616,9.561599999999999
47,Standard Class,Delaware,45.0,4.950000000000003
48,Standard Class,Delaware,21.8,6.104000000000001
49,Standard Class,Indiana,38.22,17.9634
50,Standard Class,Indiana,75.18,35.33460000000001
51,Standard Class,Indiana,6.16,2.9568000000000003
52,Standard Class,Indiana,89.99,17.098099999999988
53,Standard Class,New York,15.26,6.256600000000001
54,Standard Class,New York,1029.95,298.68550000000005
62,Standard Class,California,13.98,6.1512
63,Standard Class,California,25.824,9.3612
64,Standard Class,California,146.73,68.96309999999998
65,Standard Class,California,79.76,22.332800000000006
66,Standard Class,Illinois,213.115,-15.222499999999997
67,Standard Class,Arizona,1113.024,111.30239999999992
68,Standard Class,Arizona,167.968,62.987999999999985
70,Standard Class,New York,4.616,1.7309999999999999
72,Standard Class,Tennessee,831.936,-114.39119999999991
73,Standard Class,Tennessee,97.04,1.213000000000008
74,Standard Class,Tennessee,72.784,-18.195999999999998
81,Standard Class,California,14.9,4.172000000000001
82,Standard Class,California,21.39,6.203100000000001
83,Standard Class,North Carolina,200.984,62.807500000000005
86,Standard Class,Minnesota,19.99,6.796599999999998
87,Standard Class,Minnesota,6.16,2.9568000000000003
89,Standard Class,California,20.1,6.633000000000001
90,Standard Class,California,73.584,8.278199999999998
91,Standard Class,California,6.48,3.1104000000000003
95,Standard Class,Oregon,5.682,-3.7880000000000003
98,Standard Class,Minnesota,77.88,22.585199999999993
99,Standard Class,Illinois,64.624,22.618399999999994
100,Standard Class,Illinois,95.976,-10.797300000000007
101,Standard Class,Illinois,1.788,-3.0396
103,Standard Class,Colorado,238.896,-26.875799999999998
104,Standard Class,Colorado,102.36,-3.8384999999999962
105,Standard Class,Colorado,36.882,-25.8174
106,Standard Class,North Carolina,74.112,17.601599999999998
107,Standard Class,North Carolina,27.992,2.0993999999999993
108,Standard Class,North Carolina,3.304,1.0737999999999999
109,Standard Class,Illinois,339.96,67.99199999999996
110,Standard Class,New York,41.96,10.909600000000001
111,Standard Class,Iowa,75.96,22.787999999999997
112,Standard Class,Iowa,27.24,13.347599999999998
117,Standard Class,Washington,787.53,165.3813
118,Standard Class,Tennessee,157.794,-115.71559999999997
125,Standard Class,Illinois,617.7,-407.682
126,Standard Class,Arizona,2.388,-1.8308
127,Standard Class,Arizona,243.992,30.498999999999995
133,Standard Class,California,20.04,9.6192
134,Standard Class,California,35.44,16.656799999999997
135,Standard Class,California,11.52,3.4559999999999995
136,Standard Class,California,4.02,1.9697999999999998
137,Standard Class,California,76.176,26.6616
138,Standard Class,California,65.88,18.446399999999997
139,Standard Class,California,43.12,20.697599999999998
141,Standard Class,California,8.82,2.3814
142,Standard Class,California,10.86,5.1042
143,Standard Class,California,143.7,68.97599999999998
144,Standard Class,Missouri,839.43,218.2518
145,Standard Class,California,671.93,20.157899999999927
146,Standard Class,Ohio,93.888,12.909600000000012
147,Standard Class,Wisconsin,384.45,103.80149999999998
148,Standard Class,Wisconsin,149.97,5.998799999999989
149,Standard Class,Wisconsin,1951.84,585.5519999999999
150,Standard Class,Wisconsin,171.55,80.62850000000002
156,Standard Class,Washington,6.63,1.7900999999999998
158,Standard Class,Oklahoma,14.62,6.8713999999999995
159,Standard Class,Oklahoma,944.93,236.23249999999996
162,Standard Class,New Mexico,28.4,13.347999999999999
163,Standard Class,Washington,27.68,9.687999999999999
164,Standard Class,Texas,9.936,2.7324
165,Standard Class,Texas,8159.952,-1359.9919999999993
166,Standard Class,Texas,275.928,-58.63470000000001
167,Standard Class,Texas,1740.06,-24.857999999999947
168,Standard Class,Texas,32.064,6.813600000000001
169,Standard Class,Texas,177.98,-453.84899999999993
170,Standard Class,Texas,143.976,8.998500000000007
171,Standard Class,California,20.94,9.841800000000001
172,Standard Class,California,110.96,53.260799999999996
173,Standard Class,California,340.144,21.259000000000015
174,Standard Class,Illinois,52.448,-131.12
175,Standard Class,Illinois,20.16,6.552
179,Standard Class,New York,3.28,1.4103999999999999
185,Standard Class,Connecticut,7.16,3.4368000000000003
186,Standard Class,California,176.8,22.98400000000001
187,Standard Class,Texas,37.224,3.7223999999999933
188,Standard Class,Texas,20.016,6.254999999999999
194,Standard Class,California,14.28,6.7116
195,Standard Class,Ohio,7.408,1.2038000000000002
196,Standard Class,Ohio,6.048,1.5876000000000001
197,Standard Class,New Jersey,46.26,12.0276
198,Standard Class,Pennsylvania,2.946,-2.2586
199,Standard Class,Pennsylvania,16.056,5.820300000000001
200,Standard Class,Ohio,21.744,6.795
204,Standard Class,Tennessee,35.168,9.671199999999999
205,Standard Class,California,444.768,44.47679999999997
206,Standard Class,Michigan,83.92,5.8744000000000085
207,Standard Class,Michigan,131.98,35.63459999999999
208,Standard Class,Michigan,15.92,7.4824
209,Standard Class,Michigan,52.29,16.209899999999998
210,Standard Class,Michigan,91.99,3.6795999999999935
212,Standard Class,Ohio,23.68,8.879999999999999
213,Standard Class,Ohio,452.45,-244.32300000000004
214,Standard Class,Ohio,62.982,-14.695800000000006
215,Standard Class,Ohio,1188.0,-950.4000000000001
216,Standard Class,Ohio,89.584,4.479200000000006
217,Standard Class,California,93.06,26.056799999999996
218,Standard Class,California,302.376,22.678200000000004
225,Standard Class,Michigan,2.2,0.9680000000000002
226,Standard Class,Michigan,622.45,136.93900000000002
227,Standard Class,Michigan,21.98,0.21979999999999933
228,Standard Class,Tennessee,161.568,-28.274399999999986
229,Standard Class,Tennessee,389.696,43.8408
230,Standard Class,North Carolina,18.648,-12.431999999999999
231,Standard Class,Florida,233.86,-102.048
232,Standard Class,Florida,620.6145,-248.24580000000003
233,Standard Class,Florida,5.328,-3.5520000000000005
234,Standard Class,Florida,258.072,0.0
235,Standard Class,Florida,617.976,-7.724699999999984
236,Standard Class,California,10.56,4.752000000000001
250,Standard Class,California,7.61,3.5767000000000007
251,Standard Class,California,3347.37,636.0002999999997
254,Standard Class,Illinois,12.132,-8.492400000000002
255,Standard Class,Illinois,82.368,-19.56240000000001
256,Standard Class,Illinois,53.92,4.044000000000004
257,Standard Class,Illinois,647.904,56.691599999999994
261,Standard Class,Texas,1.624,-4.465999999999999
264,Standard Class,Illinois,328.224,28.719600000000014
265,Standard Class,California,79.9,35.156000000000006
266,Standard Class,North Carolina,14.016,4.7303999999999995
267,Standard Class,New Jersey,7.56,0.30239999999999956
268,Standard Class,Ohio,37.208,-7.441600000000001
269,Standard Class,Ohio,57.576,21.591
276,Standard Class,Pennsylvania,11.648,4.0767999999999995
277,Standard Class,Pennsylvania,18.176,5.907199999999998
278,Standard Class,Pennsylvania,59.712,5.971200000000003
279,Standard Class,Pennsylvania,24.84,8.693999999999999
282,Standard Class,California,1038.84,51.941999999999894
283,Standard Class,Oregon,141.76,47.843999999999994
284,Standard Class,Oregon,239.8,47.96000000000001
285,Standard Class,Oregon,31.104,10.886399999999998
298,Standard Class,New Jersey,32.4,15.552
299,Standard Class,New Jersey,1082.48,10.824800000000096
300,Standard Class,New Jersey,56.91,27.316799999999997
301,Standard Class,New Jersey,77.6,38.023999999999994
302,Standard Class,New Jersey,14.28,6.5687999999999995
303,Standard Class,Illinois,219.075,-131.445
305,Standard Class,Michigan,9.84,2.8536
306,Standard Class,New Jersey,45.48,20.920799999999996
307,Standard Class,New Jersey,289.2,83.868
313,Standard Class,New Jersey,87.54,37.64220000000001
314,Standard Class,Florida,178.384,22.297999999999973
315,Standard Class,Florida,15.552,5.443199999999999
317,Standard Class,New York,135.882,24.156800000000004
318,Standard Class,New York,3991.98,1995.99
319,Standard Class,New York,275.94,80.02260000000001
320,Standard Class,New York,360.0,129.6
321,Standard Class,New York,43.57,13.071000000000002
322,Standard Class,California,7.16,3.58
323,Standard Class,California,251.52,81.744
324,Standard Class,California,99.99,34.9965
337,Standard Class,California,7.712,2.7955999999999994
338,Standard Class,California,698.352,-17.458799999999997
344,Standard Class,Texas,88.8,-2.219999999999999
345,Standard Class,California,47.976,4.797599999999996
346,Standard Class,Massachusetts,7.56,3.0995999999999997
347,Standard Class,Massachusetts,24.56,11.543199999999999
348,Standard Class,Massachusetts,12.96,4.1472000000000016
354,Standard Class,New York,388.704,-4.858799999999974
355,Standard Class,New York,8.26,3.7996
356,Standard Class,New York,17.04,6.9864
357,Standard Class,New York,34.4,15.823999999999998
358,Standard Class,North Carolina,36.24,11.325000000000003
361,Standard Class,New York,20.7,9.936
362,Standard Class,New York,488.646,86.87040000000002
363,Standard Class,New York,5.56,1.4455999999999998
364,Standard Class,New York,47.12,20.732799999999997
365,Standard Class,California,211.96,8.478400000000022
370,Standard Class,Texas,25.92,9.396
371,Standard Class,Texas,53.424,4.674599999999998
372,Standard Class,Arizona,8.16,-5.712
373,Standard Class,Arizona,1023.936,179.18880000000001
374,Standard Class,Arizona,9.24,0.9239999999999995
375,Standard Class,Arizona,479.04,-29.939999999999998
377,Standard Class,Massachusetts,1488.424,-297.6848
378,Standard Class,Texas,8.652,-20.3322
379,Standard Class,Texas,23.832,2.6811000000000007
380,Standard Class,Texas,12.176,-18.872799999999998
384,Standard Class,Florida,375.4575,-157.0095
385,Standard Class,Florida,83.976,-1.0497000000000014
386,Standard Class,Pennsylvania,482.34,-337.638
387,Standard Class,Pennsylvania,2.96,0.7770000000000001
389,Standard Class,New York,23.36,7.883999999999999
390,Standard Class,New York,39.98,13.593199999999996
394,Standard Class,Nevada,75.792,25.5798
397,Standard Class,Michigan,70.12,21.036
403,Standard Class,North Carolina,39.072,9.768000000000004
404,Standard Class,New York,35.91,9.695699999999995
405,Standard Class,California,179.95,37.789499999999975
406,Standard Class,California,1199.976,434.99130000000014
407,Standard Class,California,27.15,13.303499999999998
408,Standard Class,California,1004.024,-112.95269999999994
409,Standard Class,California,9.68,4.6464
410,Standard Class,California,28.35,13.608
411,Standard Class,California,55.98,27.430199999999996
412,Standard Class,California,1336.829,31.454799999999977
413,Standard Class,California,113.568,-18.45479999999999
414,Standard Class,Washington,139.86,65.73420000000002
415,Standard Class,Washington,307.136,26.874400000000037
416,Standard Class,California,95.92,25.898399999999995
417,Standard Class,California,383.8,38.379999999999995
418,Standard Class,Kentucky,5.78,2.8322000000000003
419,Standard Class,California,9.32,2.7028
420,Standard Class,California,15.25,7.015000000000001
422,Standard Class,Massachusetts,56.56,14.705600000000004
423,Standard Class,Massachusetts,32.7,8.502000000000002
428,Standard Class,Texas,6.672,0.5004
429,Standard Class,North Carolina,189.588,-145.35080000000002
430,Standard Class,North Carolina,408.744,76.63950000000006
431,Standard Class,North Carolina,291.96,54.74249999999998
432,Standard Class,North Carolina,4.768,-0.7747999999999999
434,Standard Class,Florida,4.812,-3.6892000000000005
435,Standard Class,Florida,247.8,-18.58499999999998
438,Standard Class,Texas,31.872,11.5536
453,Standard Class,Ohio,284.364,-75.8304
454,Standard Class,Ohio,665.408,66.54079999999999
455,Standard Class,Oklahoma,63.88,24.913200000000003
456,Standard Class,California,129.568,-24.293999999999983
457,Standard Class,Illinois,747.558,-96.1146
458,Standard Class,Illinois,8.928,3.3480000000000008
459,Standard Class,Washington,103.92,36.372
460,Standard Class,Washington,899.91,377.96219999999994
461,Standard Class,Washington,51.312,18.6006
462,Standard Class,Arizona,23.56,7.067999999999998
