,Category,Category_,Sub-Category,Profit
7,Technology,2,Phones,90.7152000000001
11,Technology,2,Phones,68.35680000000002
19,Technology,2,Phones,16.010999999999996
26,Technology,2,Accessories,11.77409999999999
35,Technology,2,Phones,123.47370000000012
40,Technology,2,Phones,41.756399999999985
41,Technology,2,Phones,16.556399999999996
44,Technology,2,Accessories,19.771399999999996
47,Technology,2,Accessories,4.950000000000003
48,Technology,2,Phones,6.104000000000001
54,Technology,2,Phones,298.68550000000005
59,Technology,2,Accessories,3.3000000000000007
62,Technology,2,Accessories,6.1512
68,Technology,2,Phones,62.987999999999985
86,Technology,2,Accessories,6.796599999999998
90,Technology,2,Phones,8.278199999999998
100,Technology,2,Accessories,-10.797300000000007
103,Technology,2,Accessories,-26.875799999999998
106,Technology,2,Accessories,17.601599999999998
107,Technology,2,Phones,2.0993999999999993
109,Technology,2,Accessories,67.99199999999996
123,Technology,2,Phones,19.731600000000007
130,Technology,2,Phones,-11.994
147,Technology,2,Phones,103.80149999999998
148,Technology,2,Phones,5.998799999999989
152,Technology,2,Phones,15.238799999999998
159,Technology,2,Phones,236.23249999999996
161,Technology,2,Accessories,1.3596000000000004
165,Technology,2,Machines,-1359.9919999999993
170,Technology,2,Phones,8.998500000000007
181,Technology,2,Accessories,76.63950000000006
182,Technology,2,Phones,131.02959999999996
183,Technology,2,Phones,41.98599999999999
184,Technology,2,Accessories,7.25
186,Technology,2,Accessories,22.98400000000001
190,Technology,2,Phones,20.092800000000004
205,Technology,2,Phones,44.47679999999997
207,Technology,2,Phones,35.63459999999999
211,Technology,2,Accessories,6.5
214,Technology,2,Phones,-14.695800000000006
215,Technology,2,Machines,-950.4000000000001
216,Technology,2,Accessories,4.479200000000006
218,Technology,2,Phones,22.678200000000004
223,Technology,2,Machines,-383.99039999999997
235,Technology,2,Accessories,-7.724699999999984
240,Technology,2,Phones,11.194400000000002
251,Technology,2,Accessories,636.0002999999997
257,Technology,2,Phones,56.691599999999994
258,Technology,2,Accessories,6.925800000000001
262,Technology,2,Machines,-509.99699999999984
263,Technology,2,Machines,-251.9957999999997
264,Technology,2,Phones,28.719600000000014
265,Technology,2,Accessories,35.156000000000006
271,Technology,2,Accessories,92.3692
281,Technology,2,Phones,376.1100000000001
284,Technology,2,Accessories,47.96000000000001
291,Technology,2,Accessories,54.39660000000001
314,Technology,2,Phones,22.297999999999973
318,Technology,2,Machines,1995.99
319,Technology,2,Phones,80.02260000000001
320,Technology,2,Accessories,129.6
324,Technology,2,Accessories,34.9965
326,Technology,2,Phones,-67.87619999999998
331,Technology,2,Phones,-20.700000000000003
335,Technology,2,Copiers,335.99440000000004
343,Technology,2,Phones,8.391599999999997
345,Technology,2,Phones,4.797599999999996
349,Technology,2,Accessories,2.3086
373,Technology,2,Accessories,179.18880000000001
375,Technology,2,Accessories,-29.939999999999998
383,Technology,2,Accessories,8.799
385,Technology,2,Accessories,-1.0497000000000014
386,Technology,2,Machines,-337.638
390,Technology,2,Accessories,13.593199999999996
391,Technology,2,Phones,27.718199999999996
392,Technology,2,Copiers,701.9883
401,Technology,2,Accessories,0.7198000000000064
405,Technology,2,Accessories,37.789499999999975
406,Technology,2,Copiers,434.99130000000014
421,Technology,2,Accessories,56.56620000000001
427,Technology,2,Machines,30.095699999999994
430,Technology,2,Accessories,76.63950000000006
431,Technology,2,Accessories,54.74249999999998
435,Technology,2,Accessories,-18.58499999999998
436,Technology,2,Machines,43.199100000000044
452,Technology,2,Phones,9.131199999999996
455,Technology,2,Accessories,24.913200000000003
460,Technology,2,Accessories,377.96219999999994
473,Technology,2,Phones,87.99599999999998
477,Technology,2,Phones,7.182000000000002
481,Technology,2,Accessories,1.9089
483,Technology,2,Accessories,57.59279999999998
486,Technology,2,Phones,17.497500000000002
487,Technology,2,Phones,341.99400000000014
488,Technology,2,Phones,0.5994000000000002
489,Technology,2,Accessories,10.397400000000005
493,Technology,2,Accessories,13.157200000000003
511,Technology,2,Accessories,12.172799999999999
515,Technology,2,Copiers,1379.9769999999999
519,Technology,2,Accessories,5.287699999999999
523,Technology,2,Phones,-12.414599999999993
524,Technology,2,Accessories,27.166600000000003
533,Technology,2,Phones,274.3860000000001
540,Technology,2,Accessories,206.31599999999997
541,Technology,2,Phones,38.08639999999997
543,Technology,2,Accessories,7.264000000000003
